Generated by database/atmosphere/generate_atmosphere_table.py (pymsis)

Model: NRLMSISE-00
Date and time (UTC): 2015-01-01T01:30:00+00:00
Longitude [deg. East]: 1 point(s), 45.0 to 45.0
Latitude [deg. North]: 1 point(s), 55.0 to 55.0
F10.7 = 140.0, F10.7A = 146.0, Ap = 8.0
The species below the lower bound of the model are written as zero.

   Selected parameters are:
1 Height, km
2 O, cm-3
3 N2, cm-3
4 O2, cm-3
5 Mass_density, g/cm-3
6 Temperature_neutral, K
7 N, cm-3

          1          2          3          4          5          6          7
      184.0  7.088e+09  4.789e+09  2.615e+08  4.255e-13  7.685e+02  9.222e+06
      185.0  6.910e+09  4.588e+09  2.486e+08  4.107e-13  7.702e+02  9.206e+06
      186.0  6.738e+09  4.397e+09  2.365e+08  3.966e-13  7.719e+02  9.183e+06
      187.0  6.570e+09  4.214e+09  2.250e+08  3.830e-13  7.735e+02  9.152e+06
      188.0  6.408e+09  4.039e+09  2.141e+08  3.700e-13  7.750e+02  9.116e+06
      189.0  6.250e+09  3.873e+09  2.037e+08  3.575e-13  7.765e+02  9.073e+06
      190.0  6.097e+09  3.714e+09  1.939e+08  3.455e-13  7.780e+02  9.024e+06
      191.0  5.949e+09  3.562e+09  1.847e+08  3.340e-13  7.794e+02  8.970e+06
      192.0  5.804e+09  3.416e+09  1.759e+08  3.229e-13  7.807e+02  8.911e+06
      193.0  5.664e+09  3.277e+09  1.675e+08  3.123e-13  7.820e+02  8.847e+06
      194.0  5.527e+09  3.144e+09  1.596e+08  3.020e-13  7.833e+02  8.778e+06
      195.0  5.395e+09  3.017e+09  1.521e+08  2.922e-13  7.845e+02  8.705e+06
      196.0  5.266e+09  2.896e+09  1.450e+08  2.827e-13  7.857e+02  8.628e+06
      197.0  5.141e+09  2.779e+09  1.382e+08  2.736e-13  7.869e+02  8.547e+06
      198.0  5.019e+09  2.668e+09  1.317e+08  2.648e-13  7.880e+02  8.463e+06
      199.0  4.900e+09  2.561e+09  1.256e+08  2.564e-13  7.890e+02  8.375e+06
      200.0  4.785e+09  2.459e+09  1.198e+08  2.483e-13  7.901e+02  8.285e+06
      201.0  4.672e+09  2.361e+09  1.143e+08  2.404e-13  7.911e+02  8.192e+06
      202.0  4.563e+09  2.268e+09  1.090e+08  2.329e-13  7.921e+02  8.097e+06
